"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","JSONPlaceholder API","0","Posts API","1","0","Positive PUT request","0"
"0","JSONPlaceholder API","0","Posts API","1","0","Positive GET request","0"
"0","JSONPlaceholder API","0","Posts API","1","0","Negative DELETE request","0"
"0","JSONPlaceholder API","0","Posts API","1","0","Positive POST request","0"
"0","JSONPlaceholder API","0","Posts API","1","0","Negative GET request","0"
"0","JSONPlaceholder API","0","Posts API","1","0","Positive DELETE request","0"
"0","JSONPlaceholder API","0","Posts API","1","0","Negative POST request","0"
"0","JSONPlaceholder API","0","Posts API","1","0","Negative PUT request","0"
