"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that updating a post with valid fields returns 200 and the response contains updated data","1679","testUpdatedPost","API Test Suite","2026-05-28","passed","2026-05-28","com.jsonplaceholder.api.tests.UpdatePostTest","API Tests","com.jsonplaceholder.api.tests.UpdatePostTest","testUpdatedPost"
"Verify that retrieving a post by ID returns 200 and the response contains valid post fields","326","testGetPostById","API Test Suite","2026-05-28","passed","2026-05-28","com.jsonplaceholder.api.tests.GetPostByIdTest","API Tests","com.jsonplaceholder.api.tests.GetPostByIdTest","testGetPostById"
"Verify that deleting a post with an invalid ID returns 200 and an empty or {} response body","75","testDeletePostWithInvalidId","API Test Suite","2026-05-28","passed","2026-05-28","com.jsonplaceholder.api.tests.DeletePostInvalidTest","API Tests","com.jsonplaceholder.api.tests.DeletePostInvalidTest","testDeletePostWithInvalidId"
"Verify that creating a post with valid fields returns 201 and the response contains the same data","2400","testCreatePost","API Test Suite","2026-05-28","passed","2026-05-28","com.jsonplaceholder.api.tests.CreatePostTest","API Tests","com.jsonplaceholder.api.tests.CreatePostTest","testCreatePost"
"Verify that retrieving a post with an invalid ID returns 404 and an empty or {} response body","67","testPostInvalidid","API Test Suite","2026-05-28","passed","2026-05-28","com.jsonplaceholder.api.tests.GetPostInvalidIdTest","API Tests","com.jsonplaceholder.api.tests.GetPostInvalidIdTest","testPostInvalidid"
"Verify that deleting a post with a valid ID returns 200 and an empty or {} response body","61","testDeletePost","API Test Suite","2026-05-28","passed","2026-05-28","com.jsonplaceholder.api.tests.DeletePostTest","API Tests","com.jsonplaceholder.api.tests.DeletePostTest","testDeletePost"
"Verify that creating a post with an empty body returns 201 and default/null fields","69","testCreatePostWithEmptyBody","API Test Suite","2026-05-28","passed","2026-05-28","com.jsonplaceholder.api.tests.CreatePostInvalidTest","API Tests","com.jsonplaceholder.api.tests.CreatePostInvalidTest","testCreatePostWithEmptyBody"
"Verify that updating a post with an invalid ID and empty body returns 500 and a non-null response body","215","testUpdatePostWithInvalidId","API Test Suite","2026-05-28","passed","2026-05-28","com.jsonplaceholder.api.tests.UpdatePostInvalidTest","API Tests","com.jsonplaceholder.api.tests.UpdatePostInvalidTest","testUpdatePostWithInvalidId"
